DesignName,ParticipantID,TrialID,Block1,Block2,DT,OC,visualSearchTime,ErrorCount
Touchstone2,6,26,1,3,Contrast,medium,1392,0
Touchstone2,6,27,1,2,Contrast,high,1815,0
Touchstone2,6,28,1,3,Contrast,medium,1776,0
Touchstone2,6,29,3,2,lighting,high,2187,0
Touchstone2,6,30,3,3,lighting,medium,2083,0
Touchstone2,6,31,2,3,ContrastLighting,medium,4584,0
Touchstone2,6,32,1,3,Contrast,medium,1452,0
Touchstone2,6,33,2,1,ContrastLighting,low,1600,0
Touchstone2,6,34,3,1,lighting,low,1411,0
Touchstone2,6,35,3,1,lighting,low,1445,0
Touchstone2,6,36,2,3,ContrastLighting,medium,4969,0
Touchstone2,6,37,1,1,Contrast,low,1178,0
Touchstone2,6,38,3,2,lighting,high,1985,0
Touchstone2,6,39,1,1,Contrast,low,1886,0
Touchstone2,6,40,2,3,ContrastLighting,medium,2584,0
Touchstone2,6,41,2,3,ContrastLighting,medium,1870,0
Touchstone2,6,42,1,2,Contrast,high,2744,0
Touchstone2,6,43,3,3,lighting,medium,2239,0
Touchstone2,6,44,2,1,ContrastLighting,low,2123,0
Touchstone2,6,45,3,2,lighting,high,1811,0
Touchstone2,6,46,1,3,Contrast,medium,1237,0
Touchstone2,6,47,2,2,ContrastLighting,high,3296,0
Touchstone2,6,48,2,1,ContrastLighting,low,3269,0
Touchstone2,6,49,1,1,Contrast,low,1325,0
Touchstone2,6,50,3,1,lighting,low,1384,0
Touchstone2,6,51,2,1,ContrastLighting,low,2843,0
Touchstone2,6,52,3,3,lighting,medium,1721,0
Touchstone2,6,53,3,3,lighting,medium,2181,0
